"YEAR","state","Type_of_Producer","Total","Coal","HydroElectric","Gas","Petroleum","Wind","wood","Nuclear","biomass","Other Gases","Pumped Storage","Geothermal","Other","Solar","GeoFips","GeoName","GdpinMioUSD","SunHours","sunUnit","AvgWindSpeed","UnitWind","Population","EducationIndex","dem_percent","rep_percent"
1990,"ID","Combined Heat and Power, Industrial Power",494877,44371,0,55714,379,0,329210,0,0,0,0,0,65203,0,"16000","Idaho",83821.6,"4.92","hours","20.59","mph"," 1,599,464","13.54",33.1,63.9
1990,"ID","Combined Heat and Power, Electric Power",80993,0,0,0,0,0,80993,0,0,0,0,0,0,0,"16000","Idaho",83821.6,"4.92","hours","20.59","mph"," 1,599,464","13.54",33.1,63.9
1990,"IL","Total Electric Power Industry",129392471,54966018,143926,1419891,438584,0,333,71887302,154855,381562,0,0,0,0,"17000","Illinois",858366.9,"3.14","hours","18.28","mph"," 12,868,747","13.72",57.5,40.6
1990,"IL","Electric Generators, Independent Power Producers",209717,0,83086,0,106,0,0,0,126525,0,0,0,0,0,"17000","Illinois",858366.9,"3.14","hours","18.28","mph"," 12,868,747","13.72",57.5,40.6
1990,"IL","Electric Generators, Electric Utilities",126977389,53865768,60840,740926,422553,0,0,71887302,0,0,0,0,0,0,"17000","Illinois",858366.9,"3.14","hours","18.28","mph"," 12,868,747","13.72",57.5,40.6
1990,"IL","Combined Heat and Power, Industrial Power",2097646,1100250,0,599576,15925,0,333,0,0,381562,0,0,0,0,"17000","Illinois",858366.9,"3.14","hours","18.28","mph"," 12,868,747","13.72",57.5,40.6
1990,"IL","Combined Heat and Power, Electric Power",37664,0,0,9334,0,0,0,0,28330,0,0,0,0,0,"17000","Illinois",858366.9,"3.14","hours","18.28","mph"," 12,868,747","13.72",57.5,40.6
1990,"IL","Combined Heat and Power, Commercial Power",70055,0,0,70055,0,0,0,0,0,0,0,0,0,0,"17000","Illinois",858366.9,"3.14","hours","18.28","mph"," 12,868,747","13.72",57.5,40.6
1990,"IN","Total Electric Power Industry",101417116,96925554,441021,1470837,868038,0,0,0,37117,1674549,0,0,0,0,"18000","Indiana",375336.7,"4.21","hours","17.84","mph"," 6,542,411","13.29",41,57
1990,"IN","Electric Generators, Electric Utilities",97738497,96012872,441021,610620,673984,0,0,0,0,0,0,0,0,0,"18000","Indiana",375336.7,"4.21","hours","17.84","mph"," 6,542,411","13.29",41,57
1990,"IN","Combined Heat and Power, Industrial Power",3555176,831188,0,855943,193496,0,0,0,0,1674549,0,0,0,0,"18000","Indiana",375336.7,"4.21","hours","17.84","mph"," 6,542,411","13.29",41,57
1990,"IN","Combined Heat and Power, Commercial Power",123443,81494,0,4274,558,0,0,0,37117,0,0,0,0,0,"18000","Indiana",375336.7,"4.21","hours","17.84","mph"," 6,542,411","13.29",41,57
1990,"KS","Total Electric Power Industry",34184857,23720258,13234,2502807,74026,45,0,7874487,0,0,0,0,0,0,"20000","Kansas",175141.8,"5.79","hours","19.30","mph"," 2,882,946","13.79",41.6,56.2
1990,"KS","Electric Generators, Independent Power Producers",1465,0,1465,0,0,0,0,0,0,0,0,0,0,0,"20000","Kansas",175141.8,"5.79","hours","19.30","mph"," 2,882,946","13.79",41.6,56.2
1990,"KS","Electric Generators, Electric Utilities",33868644,23720258,11769,2196341,65744,45,0,7874487,0,0,0,0,0,0,"20000","Kansas",175141.8,"5.79","hours","19.30","mph"," 2,882,946","13.79",41.6,56.2
1990,"KS","Combined Heat and Power, Industrial Power",314748,0,0,306466,8282,0,0,0,0,0,0,0,0,0,"20000","Kansas",175141.8,"5.79","hours","19.30","mph"," 2,882,946","13.79",41.6,56.2
1990,"KY","Total Electric Power Industry",73807286,70500461,3160383,27796,118646,0,0,0,0,0,0,0,0,0,"21000","Kentucky",212539.6,"4.94","hours","16.26","mph"," 4,383,272","13.04",36.2,62.1
